Upper Lat,Upper Lon,Lower Lat,Lower Lon,Energy stoage MWh per ha,GWh,h
-37.2353,147.925,-37.2714,147.8608,58,2,6
-37.5122,147.0111,-37.5683,146.9764,80,2,6
-37.2289,147.2017,-37.2789,147.1522,80,2,6
-37.2631,147.9464,-37.3092,147.8897,74,2,6
-37.1761,147.9031,-37.1883,147.8494,80,2,6
-37.15,147.9225,-37.1408,147.8467,54,2,6
-37.2756,147.9628,-37.3139,147.9939,74,2,6
-37.1208,147.6997,-37.1719,147.6975,71,2,6
-37.2167,147.1958,-37.215,147.2439,71,2,6
-37.2247,147.1997,-37.2661,147.1447,71,2,6
-37.2736,147.415,-37.3242,147.385,46,2,6
-21.7683,149.0253,-21.7572,148.9869,31,2,6
-24.8933,148.1897,-24.8583,148.1767,47,2,6
-31.2742,152.1397,-31.3197,152.1892,58,2,6
-31.5947,152.4119,-31.5672,152.4042,35,2,6
-31.6417,152.2614,-31.6811,152.2647,34,2,6
-31.6406,152.4067,-31.6822,152.4497,43,2,6
-31.5869,152.4978,-31.5561,152.4897,27,2,6
-30.3919,152.6733,-30.43,152.6686,33,2,6
-30.7014,152.0119,-30.7364,152.0183,48,2,6
-30.9675,152.2847,-30.9481,152.3183,47,2,6
-30.3742,152.6742,-30.4231,152.6394,64,2,6
-30.3678,152.6017,-30.4042,152.6347,80,2,6
-30.3658,152.635,-30.4106,152.6394,80,2,6
-30.7997,152.1908,-30.7522,152.1894,37,2,6
-30.6511,152.0586,-30.6808,152.0717,54,2,6
-30.695,152.0061,-30.7217,152.0308,57,2,6
-30.3925,152.74,-30.4328,152.7631,40,2,6
-30.4008,152.7006,-30.4422,152.695,66,2,6
-30.355,152.2856,-30.3019,152.2967,46,2,6
-30.8308,152.2425,-30.7856,152.3053,43,2,6
-30.3183,152.9028,-30.3572,152.9164,35,2,6
-30.3997,152.7267,-30.4178,152.7789,58,2,6
-30.9697,152.27,-30.9367,152.3447,60,2,6
-30.8319,152.2281,-30.7506,152.2439,28,2,6
-30.3486,152.7508,-30.4197,152.7944,21,2,6
-30.3822,152.7022,-30.4369,152.7114,45,2,6
-30.9553,151.8794,-30.9222,151.9178,58,2,6
-30.7692,151.7853,-30.7883,151.8119,58,2,6
-30.6142,151.89,-30.6336,151.9006,51,2,6
-30.8981,151.9556,-30.9183,151.9586,54,2,6
-30.9847,151.9094,-30.9358,151.9258,58,2,6
-30.7322,151.8572,-30.7719,151.8794,60,2,6
-30.7339,151.8219,-30.7744,151.8544,44,2,6
-30.9711,151.8708,-30.9261,151.9322,47,2,6
-30.9697,151.9489,-30.9272,151.9689,62,2,6
-30.7617,151.8003,-30.7856,151.8364,46,2,6
-30.7983,151.8633,-30.7797,151.8664,52,2,6
-30.9428,151.8869,-30.9167,151.9425,68,2,6
-30.5997,151.885,-30.6175,151.9075,50,2,6
-30.5658,151.9164,-30.5997,151.9128,40,2,6
-30.7558,151.7728,-30.7825,151.8081,44,2,6
-30.7183,151.8594,-30.7556,151.9236,57,2,6
-30.5756,151.8778,-30.5914,151.9017,42,2,6
-30.6969,151.9769,-30.7364,152.0183,58,2,6
-30.8303,151.7894,-30.7906,151.8069,30,2,6
-30.7628,151.7694,-30.7806,151.7781,40,2,6
-43.0047,146.7772,-42.9872,146.8083,32,2,6
-36.2594,147.4775,-36.2831,147.4458,40,2,6
-36.9956,147.9208,-37.0142,147.8769,57,2,6
-36.4808,147.6622,-36.4964,147.6308,62,2,6
-36.3233,147.5231,-36.3556,147.4433,30,2,6
-16.5511,145.37,-16.4967,145.375,12,2,6
-37.2172,149.1753,-37.2547,149.1506,40,2,6
-18.8886,146.0047,-18.8539,146.0158,40,2,6
-18.9375,146.1239,-18.8819,146.1769,28,2,6
-18.9036,145.9978,-18.8539,146.0158,29,2,6
-18.8622,145.995,-18.8442,146.0156,50,2,6
-18.8697,145.9864,-18.8258,145.9978,29,2,6
-18.8194,145.8931,-18.7831,145.9475,22,2,6
-18.8578,145.9672,-18.8225,145.9717,46,2,6
-18.7992,145.8856,-18.7372,145.9158,11,2,6
-37.1267,148.07,-37.1628,148.1261,48,2,6
-37.1672,148.0433,-37.2133,148.1242,40,2,6
-37.225,148.0089,-37.2461,148.0308,66,2,6
-37.1089,148.0531,-37.1508,148.1414,60,2,6
-37.2194,148.0228,-37.2542,148.0453,55,2,6
-37.2472,148.0731,-37.2717,148.0583,40,2,6
-27.1228,152.8153,-27.1228,152.8544,14,2,6
-27.1025,152.6739,-27.1286,152.6486,25,2,6
-35.6247,148.2256,-35.6061,148.2567,55,2,6
-35.6336,148.1892,-35.5703,148.2264,58,2,6
-35.6106,148.2261,-35.5875,148.2547,52,2,6
-35.5983,148.1739,-35.5511,148.2267,42,2,6
-35.6153,148.2117,-35.5542,148.2383,54,2,6
-35.7214,148.0886,-35.7131,148.0456,43,2,6
-35.6403,148.2328,-35.6131,148.2814,54,2,6
-35.6289,148.2119,-35.5978,148.2589,64,2,6
-35.3489,148.51,-35.3683,148.4144,42,2,6
-28.6942,153.1053,-28.6836,153.1283,19,2,6
-28.0772,153.2236,-28.0475,153.205,24,2,6
-28.6267,153.0875,-28.6264,153.1233,20,2,6
-28.1111,153.1925,-28.1211,153.2228,22,2,6
-31.5878,151.4722,-31.6261,151.4864,51,2,6
-31.9308,151.3692,-31.9583,151.3244,74,2,6
-31.6981,151.2728,-31.7464,151.2628,40,2,6
-31.3667,151.4,-31.3658,151.3425,29,2,6
-31.0778,151.9536,-31.0797,151.9861,55,2,6
-31.4978,151.42,-31.5625,151.4092,38,2,6
-31.3281,151.3311,-31.3475,151.3053,32,2,6
-31.3942,151.2533,-31.3461,151.2731,25,2,6
-31.6519,151.2358,-31.6236,151.2569,44,2,6
-31.6906,151.2561,-31.7425,151.2525,51,2,6
-31.5406,151.6414,-31.6081,151.6581,34,2,6
-31.9256,151.3639,-31.9519,151.3106,60,2,6
-31.5058,151.2361,-31.5242,151.29,50,2,6
-31.6308,151.1492,-31.6614,151.1083,83,2,6
-31.5989,151.7842,-31.6342,151.7386,42,2,6
-31.5767,151.4733,-31.6325,151.4906,55,2,6
-31.0056,151.8964,-30.9439,151.9203,38,2,6
-31.3586,151.3919,-31.3769,151.3553,47,2,6
-31.4586,151.1822,-31.4225,151.1336,37,2,6
-31.8736,151.7842,-31.8614,151.8442,24,2,6
-31.5272,151.2231,-31.5408,151.2756,52,2,6
-31.8581,151.6006,-31.8842,151.6428,52,2,6
-31.4239,151.2686,-31.4172,151.3222,31,2,6
-31.3308,151.9969,-31.4103,151.9917,40,2,6
-31.3375,151.3575,-31.3608,151.3267,50,2,6
